Name;Matches;Runs;Avg;SR
DW Steyn;17;91;30.33;162.50
TL Suman;7;254;25.40;122.70
P Suyal;1;0;-;0.00
J Syed Mohammad;4;46;11.50;121.05
SW Tait;3;12;3.00;52.17
PV Tambe;3;3;-;50.00
AP Tare;5;273;30.33;148.36
LRPL Taylor;5;345;20.29;105.50
RN ten Doeschate;4;1248;37.81;148.21
SR Tendulkar;14;357;19.83;118.21
X Thalaivan Sargunam;1;10;10.00;58.82
MK Tiwary;10;146;18.25;104.28
SS Tiwary;9;205;25.62;100.49
SK Trivedi;17;3;1.50;37.50
JD Unadkat;13;9;9.00;90.00
K Upadhyay;2;1;-;100.00
RV Uthappa;16;580;27.61;123.14
PC Valthaty;1;6;6.00;35.29
RE van der Merwe;3;235;18.07;102.62
Y Venugopal Rao;1;-;-;-
GH Vihari;17;352;16.76;92.63
M Vijay;15;395;20.78;110.95
R Vinay Kumar;16;96;32.00;147.69
M Vohra;12;161;20.12;137.60
DA Warner;16;611;35.94;130.27
SR Watson;16;695;33.09;140.97
CL White;13;826;29.50;121.29
LJ Wright;6;746;24.86;144.29
UT Yadav;16;38;38.00;100.00
DH Yagnik;12;165;12.69;115.38
Yuvraj Singh;13;367;28.23;141.15
