Name;Matches;Runs;Avg;SR
VR Aaron;10;35;-;102.94
MA Agarwal;8;115;14.37;126.37
AN Ahmed;4;19;6.33;118.75
CJ Anderson;12;375;25.00;137.86
S Anirudha;1;3;3.00;60.00
Ankit Sharma;3;43;10.75;113.15
R Ashwin;16;53;17.66;96.36
P Awana;7;0;0.00;0.00
S Badree;4;24;12.00;64.86
GJ Bailey;17;669;31.85;139.95
L Balaji;9;1;1.00;33.33
R Bhatia;12;142;28.40;146.39
STR Binny;13;123;12.30;101.65
MS Bisla;1;11;3.66;39.28
DJ Bravo;1;718;25.64;131.50
JJ Bumrah;11;17;17.00;100.00
YS Chahal;14;8;-;114.28
UBT Chand;1;83;20.75;101.21
PP Chawla;11;134;26.80;152.27
KK Cooper;5;63;12.60;123.52
NM Coulter-Nile;2;36;9.00;102.85
PJ Cummins;1;28;7.00;90.32
BCJ Cutting;1;145;18.12;155.91
Q de Kock;7;806;28.78;125.54
M de Lange;1;21;7.00;123.52
AB de Villiers;14;535;33.43;158.28
R Dhawan;13;276;46.00;109.96
S Dhawan;14;441;25.94;114.84
MS Dhoni;16;541;60.11;150.27
AB Dinda;9;4;4.00;33.33
JP Duminy;14;902;45.10;126.50
BR Dunk;3;748;24.12;121.82
F du Plessis;15;566;23.58;127.19
JP Faulkner;13;311;34.55;143.31
AJ Finch;13;1172;30.84;127.94
G Gambhir;16;661;27.54;119.31
CM Gautam;9;155;14.09;95.09
CH Gayle;9;1056;32.00;120.13
S Gopal;4;35;17.50;159.09
Harbhajan Singh;14;199;16.58;131.78
JW Hastings;1;221;31.57;182.64
BE Hendricks;3;15;7.50;88.23
MC Henriques;4;273;27.30;114.70
BW Hilfenhaus;8;23;7.66;71.87
BJ Hodge;4;637;37.47;137.58
JO Holder;1;157;14.27;137.71
DJ Hussey;5;391;23.00;115.68
MEK Hussey;9;598;29.90;124.58
Imran Tahir;6;43;14.33;134.37
Iqbal Abdulla;1;-;-;-
RA Jadeja;16;267;38.14;155.23
KM Jadhav;10;242;30.25;145.78
SB Jakati;1;-;-;-
MG Johnson;14;56;18.66;112.00
JH Kallis;8;323;26.91;125.19
