Name;Matches;Runs;Avg;SR
VR Aaron;6;18;9.00;90.00
SA Abbott;2;57;7.12;101.78
MA Agarwal;10;379;29.15;123.85
AN Ahmed;3;45;22.50;180.00
CJ Anderson;4;267;38.14;135.53
Ankit Sharma;4;33;16.50;113.79
Anureet Singh;14;19;6.33;59.37
S Aravind;5;10;10.00;125.00
A Ashish Reddy;6;120;15.00;131.86
R Ashwin;14;63;15.75;134.04
Azhar Mahmood;1;110;18.33;132.53
GJ Bailey;13;527;27.73;133.41
R Bhatia;2;0;0.00;0.00
STR Binny;13;109;18.16;114.73
Bipul Sharma;4;108;18.00;158.82
MS Bisla;2;37;18.50;123.33
RS Bopara;9;593;25.78;121.02
J Botha;4;272;20.92;114.28
TA Boult;7;-;-;-
DJ Bravo;17;642;23.77;123.93
JJ Bumrah;4;0;-;-
KC Cariappa;1;-;-;-
YS Chahal;15;2;-;100.00
UBT Chand;6;181;18.10;111.72
PP Chawla;13;113;14.12;111.88
NM Coulter-Nile;11;67;9.57;171.79
PJ Cummins;3;1;0.50;16.66
Q de Kock;3;650;36.11;142.23
M de Lange;1;16;8.00;88.88
AB de Villiers;16;673;39.58;161.77
R Dhawan;5;197;32.83;109.44
S Dhawan;14;367;24.46;121.52
MS Dhoni;17;397;30.53;122.15
AB Dinda;2;1;0.50;100.00
JP Duminy;14;543;45.25;130.52
F du Plessis;17;652;36.22;136.68
JP Faulkner;13;530;27.89;130.54
AJ Finch;3;274;19.57;118.61
G Gambhir;13;369;21.70;108.21
CM Gautam;1;4;4.00;80.00
CH Gayle;14;1665;59.46;164.52
S Gopal;1;63;31.50;131.25
Gurkeerat Singh;5;183;15.25;112.26
Harbhajan Singh;15;142;12.90;157.77
BE Hendricks;4;1;-;50.00
MC Henriques;9;625;41.66;132.69
GB Hogg;6;7;7.00;116.66
DJ Hooda;14;151;15.10;158.94
MEK Hussey;4;270;33.75;126.16
Imran Tahir;10;5;5.00;83.33
Iqbal Abdulla;5;20;10.00;111.11
SS Iyer;14;466;27.41;124.93
RA Jadeja;17;132;18.85;104.76
KM Jadhav;14;215;17.91;128.74
MG Johnson;9;31;7.75;86.11
Karanveer Singh;4;11;11.00;68.75
KD Karthik;16;141;12.81;120.51
SN Khan;13;136;19.42;151.11
Z Khan;7;-;-;-
V Kohli;16;549;42.23;132.60
DS Kulkarni;11;4;2.00;36.36
B Kumar;14;26;8.66;144.44
P Kumar;12;35;5.83;87.50
MJ McClenaghan;12;29;5.80;145.00
BB McCullum;14;741;37.05;169.95
NJ Maddinson;1;231;19.25;129.77
SL Malinga;15;8;8.00;57.14
Mandeep Singh;14;375;23.43;139.92
SE Marsh;4;391;48.87;134.36
AD Mathews;11;209;23.22;140.26
GJ Maxwell;11;590;20.34;142.51
DA Miller;13;776;31.04;134.25
A Mishra;12;36;9.00;70.58
RG More;2;3;-;60.00
EJG Morgan;9;578;28.90;122.71
JA Morkel;4;341;48.71;136.94
M Morkel;7;4;-;133.33
CH Morris;11;157;26.16;167.02
DJ Muthuswami;6;1;1.00;25.00
S Nadeem;4;20;5.00;83.33
KK Nair;14;236;15.73;116.83
SP Narine;8;48;9.60;109.09
P Negi;10;133;13.30;143.01
A Nehra;16;1;1.00;14.28
NV Ojha;14;235;18.07;121.13
PP Ojha;1;0;0.00;0.00
IC Pandey;10;1;1.00;50.00
MK Pandey;13;281;17.56;111.06
HH Pandya;9;161;20.12;153.33
Parvez Rasool;2;74;14.80;119.35
AR Patel;14;230;20.90;112.74
HV Patel;15;32;4.00;152.38
PA Patel;14;423;24.88;138.23
YK Pathan;13;380;42.22;125.82
NLTC Perera;2;175;12.50;113.63
KA Pollard;16;897;35.88;145.38
AM Rahane;14;577;44.38;128.79
KL Rahul;9;142;28.40;112.69
SK Raina;17;410;24.11;121.66
AT Rayudu;15;281;25.54;143.36
RR Rossouw;2;330;27.50;137.50
AD Russell;13;776;25.86;175.96
WP Saha;14;353;20.76;141.76
DJG Sammy;2;333;16.65;125.66
SV Samson;14;363;22.68;112.03
Sandeep Sharma;14;10;10.00;66.66
GS Sandhu;3;1;-;33.33
V Sehwag;8;223;22.30;131.95
Shakib Al Hasan;4;302;17.76;108.24
I Sharma;4;-;-;-
KV Sharma;14;166;20.75;121.16
MM Sharma;16;31;10.33;124.00
RG Sharma;16;610;38.12;144.20
Shivam Sharma;1;-;-;-
LMP Simmons;13;1172;33.48;114.23
DR Smith;16;714;23.80;112.08
SPD Smith;14;383;31.91;139.78
TG Southee;7;13;6.50;130.00
BB Sran;1;17;17.00;242.85
MA Starc;13;11;11.00;78.57
DW Steyn;6;20;20.00;153.84
J Suchith;13;59;19.66;140.47
P Suyal;3;0;0.00;0.00
PV Tambe;10;7;7.00;43.75
AP Tare;2;153;25.50;129.66
RN ten Doeschate;6;485;20.20;125.00
R Tewatia;1;-;-;-
SN Thakur;1;14;14.00;100.00
J Theron;1;16;4.00;69.56
MK Tiwary;5;127;21.16;97.69
SS Tiwary;7;222;74.00;137.03
JD Unadkat;1;0;0.00;0.00
RV Uthappa;13;445;34.23;132.04
GH Vihari;5;249;20.75;125.75
M Vijay;11;298;22.92;115.50
R Vinay Kumar;13;0;0.00;0.00
M Vohra;7;390;26.00;120.37
DA Warner;14;566;40.42;155.06
SR Watson;10;385;29.61;130.06
D Wiese;14;193;14.84;126.97
KS Williamson;2;175;35.00;153.50
J Yadav;3;84;42.00;135.48
SA Yadav;13;220;20.00;127.16
UT Yadav;12;29;29.00;207.14
Yuvraj Singh;14;363;22.68;126.92
