Name;Matches;Runs;Avg;SR
S Ladda;1;-;-;-
AB Agarkar;4;12;12.00;75.00
MA Agarwal;5;67;13.40;108.06
AN Ahmed;2;-;-;-
Anand Rajan;2;-;-;-
S Anirudha;1;0;0.00;0.00
Ankit Sharma;1;-;-;-
KB Arun Karthik;12;41;13.66;107.89
A Ashish Reddy;12;125;20.83;140.44
R Ashwin;18;35;8.75;71.42
P Awana;14;1;0.50;11.11
Azhar Mahmood;11;196;19.60;127.27
S Badree;1;-;-;-
S Badrinath;18;124;17.71;102.47
L Balaji;13;9;9.00;90.00
R Bhatia;15;99;16.50;123.75
BA Bhatt;2;-;-;-
STR Binny;17;293;32.55;147.23
Bipul Sharma;1;-;-;-
UA Birla;2;7;7.00;50.00
MS Bisla;14;255;19.61;108.05
J Botha;6;43;7.16;82.69
DJ Bravo;18;121;15.12;114.15
JJ Bumrah;2;-;-;-
YS Chahal;1;-;-;-
UBT Chand;9;158;17.55;100.00
A Chandila;8;4;-;66.66
AA Chavan;3;-;-;-
PP Chawla;16;64;10.66;112.28
B Chipli;1;16;16.00;88.88
DT Christian;2;6;3.00;40.00
KK Cooper;14;39;9.75;177.27
NM Coulter-Nile;1;9;9.00;150.00
DB Das;10;75;15.00;101.35
Q de Kock;3;6;2.00;40.00
AB de Villiers;14;360;36.00;164.38
R Dhawan;6;21;7.00;100.00
S Dhawan;10;311;38.87;122.92
MS Dhoni;18;461;41.90;162.89
TM Dilshan;5;76;15.20;81.72
AB Dinda;13;9;4.50;81.81
P Dogra;1;5;5.00;62.50
R Dravid;18;471;29.43;110.82
JP Faulkner;16;57;11.40;100.00
AJ Finch;14;456;32.57;135.71
G Gambhir;16;406;25.37;118.36
CM Gautam;3;44;22.00;129.41
CH Gayle;16;708;59.00;156.29
AC Gilchrist;13;294;24.50;128.38
RV Gomez;2;4;-;400.00
MS Gony;8;45;11.25;180.00
Gurkeerat Singh;11;108;13.50;113.68
Harbhajan Singh;19;116;19.33;146.83
Harmeet Singh;3;3;3.00;75.00
Harmeet Singh;1;-;-;-
RJ Harris;3;2;2.00;40.00
MC Henriques;10;165;41.25;132.00
BJ Hodge;17;293;41.85;134.40
GB Hogg;1;-;-;-
JO Holder;6;-;-;-
DJ Hussey;12;235;23.50;112.44
MEK Hussey;17;733;52.35;129.50
Iqbal Abdulla;5;8;-;57.14
RA Jadeja;18;201;25.12;148.88
KM Jadhav;12;152;21.71;122.58
DPMD Jayawardene;15;331;22.06;105.75
MG Johnson;17;39;9.75;108.33
MC Juneja;7;125;17.85;97.65
JH Kallis;16;311;20.73;96.58
KD Karthik;19;510;28.33;124.08
M Kartik;11;2;2.00;66.66
S Kaul;6;7;-;77.77
Z Khan;2;-;-;-
V Kohli;16;634;45.28;138.73
DS Kulkarni;6;-;-;-
B Kumar;16;52;7.42;73.23
P Kumar;15;47;7.83;120.51
B Laughlin;2;4;4.00;44.44
B Lee;3;21;21.00;175.00
BB McCullum;1;6;6.00;85.71
AB McDonald;1;0;0.00;0.00
R McLaren;2;3;1.50;50.00
VS Malik;3;-;-;-
SL Malinga;17;9;2.25;50.00
Mandeep Singh;16;260;20.00;116.59
M Manhas;3;13;-;76.47
MR Marsh;9;140;20.00;132.07
SE Marsh;8;300;37.50;120.48
AD Mascarenhas;1;5;-;100.00
AD Mathews;11;172;24.57;123.74
GJ Maxwell;3;36;18.00;133.33
AL Menaria;1;1;1.00;50.00
BAW Mendis;3;2;2.00;50.00
BMAJ Mendis;3;23;7.66;85.18
DA Miller;12;418;59.71;164.56
A Mishra;17;89;14.83;92.70
A Mithun;1;2;2.00;100.00
Mohammed Shami;3;5;5.00;50.00
EJG Morgan;14;307;27.90;127.91
JA Morkel;8;46;15.33;124.32
M Morkel;10;57;11.40;196.55
CH Morris;16;14;7.00;87.50
A Mukund;1;19;19.00;90.47
M Muralitharan;6;-;-;-
AG Murtaza;3;5;5.00;125.00
S Nadeem;12;14;2.80;51.85
KK Nair;2;9;4.50;75.00
DP Nannes;5;0;-;-
SP Narine;16;21;7.00;110.52
S Narwal;2;23;23.00;153.33
AM Nayar;11;66;11.00;90.41
P Negi;1;-;-;-
A Nehra;10;1;0.25;12.50
MG Neser;1;-;-;-
NV Ojha;2;9;9.00;90.00
PP Ojha;16;2;2.00;50.00
JDP Oram;1;-;-;-
IC Pandey;2;0;0.00;0.00
MK Pandey;7;136;22.66;99.27
WD Parnell;4;5;5.00;71.42
Parvez Rasool;2;5;5.00;55.55
MM Patel;4;0;-;-
PA Patel;13;294;22.61;115.29
IK Pathan;15;142;17.75;93.42
YK Pathan;16;332;30.18;138.33
MDKJ Perera;2;14;7.00;107.69
NLTC Perera;16;233;23.30;142.94
KA Pollard;18;420;42.00;149.46
LA Pomersbach;3;58;29.00;98.30
RT Ponting;6;52;10.40;69.33
CA Pujara;4;92;23.00;92.92
AM Rahane;18;488;34.85;106.55
KL Rahul;5;20;10.00;125.00
SK Raina;18;548;42.15;150.13
