Name;Matches;Runs;Avg;SR
AS Rajpoot;2;2;-;33.33
R Rampaul;10;38;9.50;102.70
DB Ravi Teja;2;14;14.00;82.35
M Rawat;2;5;5.00;45.45
AT Rayudu;19;265;18.92;114.71
PA Reddy;7;91;13.00;90.09
KW Richardson;3;34;17.00;94.44
BJ Rohrer;8;193;32.16;137.85
AD Russell;3;11;5.50;78.57
Sachin Baby;4;3;3.00;42.85
WP Saha;3;70;23.33;125.00
BB Samantray;8;123;24.60;110.81
DJG Sammy;10;174;29.00;131.81
SV Samson;11;206;25.75;115.73
MN Samuels;2;8;4.00;44.44
Sandeep Sharma;4;0;-;0.00
KC Sangakkara;9;120;13.33;88.23
PJ Sangwan;2;4;-;200.00
R Sathish;9;109;21.80;141.55
V Sehwag;13;295;24.58;126.60
SMSM Senanayake;8;10;10.00;58.82
OA Shah;2;25;12.50;108.69
I Sharma;16;0;-;-
KV Sharma;13;85;21.25;98.83
MM Sharma;15;0;0.00;0.00
R Sharma;11;11;2.75;64.70
RG Sharma;19;538;38.42;131.54
LR Shukla;4;3;1.50;25.00
R Shukla;3;1;-;50.00
RP Singh;11;-;-;-
DR Smith;13;418;32.15;122.58
SPD Smith;7;159;39.75;120.45
S Sreesanth;7;1;1.00;25.00
DW Steyn;17;53;26.50;147.22
TL Suman;7;52;10.40;89.65
P Suyal;1;-;-;-
J Syed Mohammad;4;10;5.00;76.92
SW Tait;3;1;1.00;33.33
PV Tambe;3;3;-;50.00
AP Tare;5;123;24.60;146.42
LRPL Taylor;5;63;12.60;82.89
RN ten Doeschate;4;85;28.33;134.92
SR Tendulkar;14;287;22.07;124.24
X Thalaivan Sargunam;1;10;10.00;58.82
MK Tiwary;10;146;18.25;104.28
SS Tiwary;9;109;27.25;102.83
SK Trivedi;17;3;3.00;42.85
JD Unadkat;13;2;-;100.00
K Upadhyay;2;1;-;100.00
RV Uthappa;16;434;27.12;116.98
PC Valthaty;1;6;6.00;35.29
RE van der Merwe;3;22;11.00;88.00
Y Venugopal Rao;1;-;-;-
GH Vihari;17;241;17.21;86.69
M Vijay;15;312;22.28;109.09
R Vinay Kumar;16;70;70.00;159.09
M Vohra;12;161;20.12;137.60
DA Warner;16;410;31.53;126.93
SR Watson;16;543;38.78;142.89
CL White;13;209;17.41;109.42
LJ Wright;6;106;21.20;176.66
UT Yadav;16;38;38.00;100.00
DH Yagnik;12;125;15.62;130.20
Yuvraj Singh;13;238;19.83;125.26
