Name;Matches;Runs;Avg;SR
KC Avinash;2;10;10.00;83.33
Avinash Yadav;2;-;-;-
SE Avontuur;1;39;39.00;108.33
Awais Zia;5;75;15.00;153.06
P Awana;1;-;-;-
Ayaz Jamali;3;37;12.33;127.58
Ayaz Khan;1;-;-;-
Ayaz Tasawwar;5;78;26.00;123.80
B Ayyappa;9;32;10.66;80.00
Azam Hussain;3;2;-;66.66
Azam Khan;2;-;-;-
Azeem Ghumman;5;128;25.60;106.66
Azharullah;15;-;-;-
Azhar Ali;5;92;18.40;97.87
Azhar Mahmood;10;110;18.33;132.53
SJ Baard;14;398;33.16;119.16
OEG Baartman;1;-;-;-
Babar Ali;1;1;1.00;14.28
Babar Azam;10;327;54.50;115.95
Babar Hayat;12;257;28.55;118.98
Babar Khan;5;17;8.50;154.54
Babar Rehman;3;24;24.00;150.00
S Badree;17;41;-;132.25
S Badrinath;2;16;8.00;55.17
S Baig;1;9;9.00;128.57
GJ Bailey;27;527;27.73;133.41
TE Bailey;9;0;0.00;0.00
AK Bains;8;210;26.25;104.47
JM Bairstow;12;321;29.18;133.75
AP Bais;1;2;2.00;66.66
BWKS Bulathwala;1;5;5.00;41.66
A Balbirnie;15;215;21.50;106.43
AJ Ball;3;14;-;175.00
JT Ball;16;15;-;125.00
GS Ballance;3;56;18.66;143.58
CT Bancroft;3;8;8.00;100.00
HMCM Bandara;4;25;12.50;119.04
KMC Bandara;3;-;-;-
Bandeep Singh;3;16;5.33;80.00
HR Barad;8;56;18.66;112.00
BL Barends;6;32;32.00;88.88
KHD Barker;2;1;1.00;100.00
EG Barnard;14;15;3.75;62.50
WD Barnes;11;3;-;60.00
CD Barnwell;10;81;13.50;110.95
W Barresi;12;240;20.00;140.35
Basil Thampi;3;-;-;-
YM Basukinath;1;19;19.00;61.29
MD Bates;7;4;2.00;40.00
MD Bates;2;-;-;-
GJ Batty;12;33;8.25;91.66
S Bau;1;26;26.00;83.87
T Bavuma;2;80;80.00;133.33
AR Beadle;3;7;7.00;100.00
RR Beaton;6;3;3.00;100.00
TM Beaton;7;141;141.00;156.66
DG Bedingham;1;17;17.00;130.76
MA Beer;8;1;-;100.00
WAT Beer;14;67;8.37;109.83
F Behardien;18;288;36.00;118.51
DR Behera;8;86;17.20;138.70
J Behera;8;1;1.00;50.00
JP Behrendorff;9;-;-;-
IR Bell;6;163;27.16;132.52
WE Bell;3;22;22.00;91.66
DJ Bell-Drummond;16;360;22.50;129.96
SJ Benn;12;10;-;100.00
HK Bennett;6;4;4.00;66.66
AR Berenger;6;153;25.50;150.00
GK Berg;5;41;41.00;132.25
IC Bergh;2;25;12.50;80.64
RD Berrington;11;133;33.25;137.11
AA Bhandari;9;79;15.80;127.41
B Bhandari;9;35;4.37;66.03
M Bhanuka;9;180;25.71;144.00
KS Bharat;5;72;14.40;92.30
R Bhatia;2;0;0.00;0.00
RH Bhatt;9;149;29.80;112.03
RK Bhui;8;91;18.20;86.66
Bilal Asif;13;237;33.85;179.54
Bilal Irshad;1;45;45.00;95.74
Bilal Khan;6;0;0.00;0.00
Bilal Shah;3;69;23.00;215.62
Bilawal;1;-;-;-
Bilawal Bhatti;16;49;9.80;100.00
SW Billings;22;498;26.21;135.69
STR Binny;15;109;18.16;114.73
Bipul Sharma;12;108;18.00;158.82
ACR Birch;10;20;4.00;71.42
JM Bird;17;18;9.00;94.73
UA Birla;8;168;28.00;109.80
TR Birt;3;41;13.66;136.66
R Bishnoi;8;132;16.50;132.00
D Bishoo;8;13;-;92.85
MS Bisla;2;37;18.50;123.33
Bismillah Khan;4;132;44.00;125.71
C Bisson;6;8;2.66;61.53
JG Bista;4;132;44.00;138.94
J Blackwood;6;84;16.80;97.67
AJ Blake;14;304;38.00;167.03
AC Blizzard;12;368;36.80;120.65
AM Bloch;4;-;-;-
TA Blundell;7;136;27.20;111.47
CJ Bodenstein;6;60;15.00;98.36
TM Bodibe;8;56;14.00;114.28
T Bokako;3;-;-;-
SM Boland;9;13;13.00;130.00
DE Bollinger;11;9;4.50;90.00
NE Bonner;4;41;20.50;83.67
S Booi;4;-;-;-
RS Bopara;30;593;25.78;121.02
PW Borren;12;222;27.75;138.75
SG Borthwick;14;25;8.33;75.75
C Bosch;5;13;-;144.44
UU Bose;4;115;28.75;149.35
D Botha;5;76;38.00;122.58
J Botha;28;272;20.92;114.28
N Botha;5;2;1.00;33.33
P Botha;6;73;18.25;130.35
JJ Boult;9;18;6.00;66.66
TA Boult;7;-;-;-
CJ Bowes;1;15;15.00;100.00
CJ Boyce;9;43;21.50;138.70
MAG Boyce;4;29;29.00;76.31
DAJ Bracewell;1;7;-;350.00
MG Bracewell;11;299;33.22;121.05
WD Bragg;1;6;6.00;100.00
CR Brathwaite;10;124;17.71;153.08
DJ Bravo;47;642;23.77;123.93
DM Bravo;13;291;32.33;134.10
JM Bredenkamp;2;56;28.00;143.58
N Bredenkamp;2;1;0.50;25.00
TT Bresnan;15;175;21.87;143.44
DR Briggs;16;18;18.00;90.00
SCJ Broad;1;0;0.00;-
JA Brooks;2;-;-;-
NT Broom;11;299;37.37;115.89
BC Brown;5;22;4.40;73.33
DL Brown;5;107;35.66;135.44
KR Brown;16;362;24.13;121.47
LJ Brown;1;-;-;-
NLJ Browne;8;81;16.20;139.65
DG Brownlie;5;89;17.80;114.10
TC Bruce;9;223;31.85;140.25
D Bruwer;1;7;7.00;58.33
M Budaza;3;-;-;-
I Buddika;3;22;7.33;59.45
MLR Buddika;3;11;3.66;73.33
Mudassar Bukhari;11;14;3.50;93.33
TA Bula;6;74;18.50;88.09
JJ Bumrah;9;0;-;-
S Burger;1;10;10.00;71.42
SF Burger;13;207;34.50;109.52
JE Burke;9;25;5.00;78.12
JA Burns;9;74;10.57;96.10
RJ Burns;5;49;24.50;113.95
JC Buttler;7;207;34.50;164.28
B Cachopa;11;160;20.00;105.96
Craig Cachopa;21;379;27.07;128.04
M Calana;3;19;19.00;90.47
MA Carberry;25;678;35.68;135.05
KC Cariappa;1;-;-;-
C Carter;4;30;15.00;96.77
JL Carter;9;94;11.75;116.04
LJ Carter;7;57;11.40;109.61
RGL Carters;8;91;18.20;115.18
K Carver;3;2;2.00;50.00
KA Cele;4;24;6.00;54.54
YS Chahal;19;2;-;100.00
RW Chakabva;3;17;5.66;54.83
PVD Chameera;9;10;-;66.66
UBT Chand;11;181;18.10;111.72
S Chanderpaul;2;11;5.50;50.00
LD Chandimal;2;41;41.00;195.23
MS Chapman;13;279;27.90;124.55
ZJ Chappell;1;-;-;-
J Charles;12;266;24.18;149.43
SD Chatterjee;3;118;39.33;142.16
AN Chauhan;8;8;4.00;61.53
DM Chauhan;2;3;1.50;42.85
H Chawla;10;135;22.50;143.61
PP Chawla;17;113;14.12;111.88
C Chetty;9;64;12.80;101.58
CJ Chibhabha;8;153;21.85;107.74
T Chiecktey;2;19;9.50;90.47
E Chigumbura;12;177;14.75;127.33
TS Chisoro;3;7;-;70.00
SD Chitnis;4;81;40.50;139.65
P Chopra;8;229;32.71;104.56
V Chopra;15;328;21.86;106.49
A Choudhary;8;0;0.00;0.00
SA Chouhan;4;55;13.75;93.22
MC Christensen;5;16;8.00;64.00
DT Christian;15;197;19.70;151.53
CK Chundawat;8;53;17.66;106.00
R Claassen;8;0;0.00;0.00
G Clark;4;96;48.00;147.69
J Clark;11;51;12.75;108.51
JM Clarke;2;16;16.00;123.07
R Clarke;16;263;23.90;116.37
JA Clarkson;9;161;26.83;126.77
ME Claydon;22;47;11.75;109.30
D Cleaver;9;109;13.62;114.73
GL Cloete;7;80;16.00;87.91
BO Coad;2;2;-;66.66
JJ Cobb;20;482;26.77;128.87
IA Cockbain;13;392;39.20;149.61
WL Coetsee;13;97;13.85;108.98
J Coetzee;3;16;-;106.66
KJ Coetzer;12;259;32.37;143.88
MT Coles;13;34;4.85;103.03
PD Collingwood;13;242;18.61;112.03
NRD Compton;9;127;15.87;123.30
DP Conway;13;302;23.23;95.56
AN Cook;1;8;8.00;88.88
MY Cook;6;107;17.83;92.24
SC Cook;3;52;17.33;133.33
CB Cooke;13;259;28.77;137.76
CW Coombe;4;16;16.00;133.33
BN Cooper;12;323;29.36;131.83
KK Cooper;21;121;15.12;134.44
