Name;Matches;Runs;Avg;SR
Haroon;1;22;22.00;100.00
Harpreet Singh;8;124;20.66;120.38
JAR Harris;6;7;3.50;77.77
MS Harris;6;85;17.00;121.42
CD Hartley;7;5;2.50;62.50
Hasan Ali;4;0;-;-
Hasan Mahmood;1;-;-;-
Hasan Raza;3;71;23.66;98.61
Haseeb Amjad;11;18;4.50;100.00
JW Hastings;21;257;21.41;170.19
VS Hathwala;5;141;35.25;104.44
NM Hauritz;6;12;12.00;133.33
EL Hawken;1;-;-;-
TM Head;10;327;40.87;154.97
SD Heazlett;1;26;26.00;108.33
MADI Hemantha;6;59;19.66;147.50
BE Hendricks;4;1;-;50.00
DA Hendricks;8;216;36.00;106.40
RR Hendricks;15;503;41.91;115.63
MC Henriques;20;625;41.66;132.69
MJ Henry;4;39;19.50;195.00
HMRKB Herath;1;2;2.00;33.33
AA Herwadkar;3;20;6.66;105.26
D Hettiarachchi;1;5;5.00;41.66
PC Hewage;2;15;15.00;62.50
S Hicks;1;10;10.00;71.42
RF Higgins;2;7;3.50;63.63
JC Hildreth;12;226;25.11;108.65
BW Hilfenhaus;10;58;14.50;118.36
LJ Hill;1;-;-;-
MW Hill;3;114;38.00;117.52
RM Hira;10;181;20.11;141.40
IC Hlengani;1;-;-;-
AJ Hodd;8;113;16.14;117.70
BJ Hodge;15;439;39.90;133.43
MG Hogan;14;3;3.00;75.00
GB Hogg;15;7;7.00;116.66
JO Holder;14;146;20.85;124.78
JM Holland;3;-;-;-
AH Hooda;5;0;-;-
DJ Hooda;16;151;15.10;158.94
KR Hooda;3;40;13.33;93.02
SD Hope;4;39;9.75;92.85
JR Hopes;8;61;15.25;112.96
NB Hornbuckle;2;6;3.00;33.33
PJ Horton;6;136;22.66;107.93
AJ Hose;1;20;20.00;133.33
AJ Hosein;3;11;11.00;100.00
BAC Howell;14;173;28.83;121.83
AL Hughes;9;137;19.57;129.24
CF Hughes;14;276;21.23;130.18
DP Hughes;5;31;15.50;100.00
GI Hume;3;-;-;-
MD Hunn;1;-;-;-
Hussain Talat;5;91;30.33;128.16
DJ Hussey;4;58;29.00;148.71
MEK Hussey;11;270;33.75;126.16
DS Hutchinson;10;46;15.33;100.00
Iftikhar Ahmed;15;517;47.00;133.93
LU Igalagamage;7;80;16.00;106.66
Ikramullah Khan;1;2;-;66.66
Imad Wasim;10;166;55.33;161.16
Imam-ul-Haq;8;234;46.80;115.27
Imran Khan;2;-;-;-
Imran Ali;7;24;12.00;150.00
Imran Chandio;3;0;0.00;0.00
Imran Farhat;6;100;16.66;103.09
Imran Khalid;5;50;10.00;106.38
Imran Khan;9;-;-;-
Imran Khan;3;5;1.66;50.00
Imran Khan;13;1;1.00;25.00
Imran Tahir;15;5;5.00;83.33
Imrul Kayes;13;322;26.83;113.78
Imtiaz Ahmed;4;55;27.50;137.50
Imtiaz Ali;2;5;5.00;62.50
R Inder Singh;4;46;11.50;71.87
B Indrajith;5;96;19.20;112.94
CA Ingram;24;603;28.71;146.00
Iqbal Abdulla;5;20;10.00;111.11
Iqbal Akram;3;29;14.50;87.87
Irfanullah;1;-;-;-
Irfan Ahmed;8;240;30.00;135.59
Irfan Khan;5;14;4.66;107.69
Irfan Sukkur;1;1;-;100.00
Irfan Talib;3;56;18.66;112.00
DHA Isanka;6;59;11.80;109.25
Ishan Kishan;8;130;16.25;89.04
Ismail Khan;3;9;4.50;52.94
Israrullah;10;257;25.70;138.17
SS Iyer;18;466;27.41;124.93
VR Iyer;7;21;21.00;140.00
SP Jackson;4;148;37.00;119.35
DA Jadeja;4;11;11.00;157.14
RA Jadeja;17;132;18.85;104.76
DS Jadhav;2;3;1.50;30.00
KM Jadhav;18;215;17.91;128.74
Jafar Jamal;5;78;26.00;120.00
IR Jaggi;8;227;37.83;126.81
Jahandad Khan;4;69;17.25;109.52
Jahurul Islam;9;205;41.00;100.00
PP Jaiswal;9;35;8.75;175.00
Jalat Khan;4;44;44.00;100.00
Jamal Anwar;9;49;24.50;119.51
CS Jani;4;53;26.50;132.50
JGA Janoda;6;13;13.00;130.00
KM Jarvis;7;-;-;-
Jasdeep Singh;3;20;10.00;86.95
Jatinder Singh;12;277;25.18;91.11
Javedullah;1;0;0.00;0.00
Javed Ahmadi;1;22;22.00;88.00
Javed Bhutto;2;28;14.00;80.00
A Javid;15;187;37.40;124.66
WMC Jayampathi;4;2;2.00;33.33
HIA Jayaratne;7;10;10.00;142.85
PLM Jayaratne;6;19;6.33;90.47
JMUB Jayasena;7;86;28.66;226.31
A Jayasundera;1;17;17.00;113.33
H Jayasundera;1;0;-;-
MDUS Jayasundera;6;223;44.60;135.97
DSNFG Jayasuriya;12;204;20.40;113.33
NGRP Jayasuriya;6;4;4.00;66.66
MAS Jayathilake;6;36;18.00;128.57
DKRC Jayatissa;4;25;12.50;100.00
DPMD Jayawardene;25;629;27.34;127.84
HAPW Jayawardene;1;7;7.00;77.77
S Jayawardene;3;17;17.00;70.83
SL Jayawardene;3;20;6.66;68.96
STR Jayawardene;1;1;1.00;50.00
MSS Jayawickrama;9;121;40.33;155.12
PASS Jeewantha;7;70;14.00;84.33
JW Jenner;6;210;52.50;144.82
KK Jennings;9;2;0.66;50.00
SD Jogiyani;3;56;56.00;93.33
DE Johnson;2;0;0.00;0.00
MG Johnson;9;31;7.75;86.11
R Jonathan;4;58;29.00;126.08
GO Jones;14;217;27.12;136.47
LM Jongwe;6;51;10.20;76.11
C Jonker;12;148;14.80;124.36
CJ Jordan;5;78;26.00;134.48
HS Joshi;4;95;23.75;121.79
Jubair Hossain;1;-;-;-
Junaid Ilyas;3;-;-;-
Junaid Khan;12;39;13.00;150.00
Junaid Nadir;1;-;-;-
Junaid Siddique;5;105;26.25;94.59
Junaid Siddiqui;5;36;18.00;171.42
MC Juneja;8;192;38.40;112.28
AG Jungade;1;-;-;-
R Kaia;2;6;6.00;35.29
M Kaif;9;141;17.62;87.57
MO Kain;9;58;14.50;156.75
RB Kalaria;9;11;5.50;100.00
JH Kallis;21;512;30.11;113.77
S Randiv;6;79;19.75;175.55
SK Kamat;5;67;13.40;78.82
Kamran Akmal;25;490;23.33;129.28
Kamran Ghulam;8;78;19.50;141.81
Kamran Hussain;9;135;27.00;150.00
Kamrul Islam Rabbi;2;1;1.00;33.33
SAV Kanchuka;3;45;15.00;107.14
SHT Kandamby;8;78;19.50;116.41
STP Kandanearachchi;1;1;1.00;25.00
TE Kane;6;28;28.00;140.00
TJ Kannemeyer;2;13;6.50;92.85
RR Kanojia;5;-;-;-
A Kapil;3;28;9.33;127.27
CK Kapugedera;12;232;33.14;179.84
Karan KC;7;5;2.50;31.25
Karanveer Singh;4;11;11.00;68.75
SD Karathia;2;11;11.00;137.50
JB Karia;9;102;20.40;139.72
IA Karim;8;256;51.20;113.27
Karim Sadiq;5;100;20.00;123.45
A Karn;2;4;4.00;57.14
KD Karthik;16;141;12.81;120.51
KPNM Karunanayake;4;80;20.00;86.95
KPSP Karunanayake;6;164;27.33;138.98
C Karunaratne;1;1;1.00;10.00
DMAD Karunaratne;1;-;-;-
TMUS Karunaratne;6;107;26.75;93.85
Kashif Bhatti;6;7;2.33;43.75
Kashif Mansha;2;27;27.00;93.10
Kashif Naved;6;37;18.50;127.58
KT Kasuza;2;41;20.50;113.88
ZA Kathrada;4;49;24.50;100.00
K Kaul;1;18;18.00;94.73
S Kaul;10;8;8.00;160.00
PHT Kaushal;5;23;11.50;79.31
Kaushal Singh;8;162;40.50;132.78
AD Kaushik;1;43;43.00;126.47
AW Kay;6;27;9.00;84.37
SM Kazi;1;-;-;-
AR Keath;2;6;6.00;120.00
SJC Keen;1;-;-;-
NF Kelly;6;92;23.00;124.32
EH Kemm;5;180;45.00;100.00
JM Kemp;2;20;20.00;133.33
RI Keogh;14;39;19.50;139.28
ED Kerkar;1;53;-;117.77
B Kerr;1;1;1.00;50.00
S Keshvani;1;-;-;-
LJ Kgoatle;7;111;15.85;84.09
HH Khadiwale;2;42;21.00;127.27
P Khadka;10;185;26.42;102.77
SP Khakurel;4;24;6.00;48.97
Khalid Latif;11;339;37.66;135.05
Khalid Usman;8;25;8.33;100.00
I Khan;1;3;3.00;33.33
I Khan;2;1;-;100.00
JJ Khan;3;-;-;-
S Khan;1;25;25.00;89.28
SN Khan;17;136;19.42;151.11
Z Khan;7;-;-;-
UT Khawaja;1;109;-;155.71
Khawar Ali;10;169;16.90;91.35
SM Khomari;6;57;19.00;90.47
TR Khoza;7;7;3.50;100.00
Khurram Manzoor;11;309;28.09;133.18
Khurram Shehzad;8;193;27.57;116.26
Khurram Shehzad;3;49;16.33;96.07
Khushdil Shah;3;80;26.66;114.28
JJ Kilani;4;8;-;80.00
HP Kingston;1;-;-;-
CM Kirsten;4;4;4.00;57.14
KR Kishun;2;-;-;-
AK Kitchen;11;259;23.54;127.58
H Klaasen;11;310;103.33;145.53
L Klazinga;5;9;-;150.00
MC Kleinveldt;2;46;46.00;100.00
RK Kleinveldt;24;175;14.58;190.21
M Klinger;22;972;60.75;134.43
TC Knight;9;80;26.66;126.98
T Kohler-Cadmore;14;365;30.41;134.19
T Kohli;6;31;10.33;77.50
V Kohli;18;549;42.23;132.60
GVJ Koopman;6;107;17.83;102.88
HHJ Kotze;6;112;22.40;104.67
JP Kotze;11;57;9.50;101.78
Kranthi Kumar;3;0;0.00;0.00
EC Kriek;1;4;4.00;40.00
LR Krishantha;2;2;-;33.33
PE Kruger;2;29;29.00;126.08
Kshitiz Sharma;1;10;10.00;142.85
SC Kuggeleijn;9;26;4.33;70.27
HG Kuhn;4;126;42.00;118.86
AS Kuila;2;-;-;-
AE Kula;1;-;-;-
CKB Kulasekara;7;40;6.66;93.02
KMDN Kulasekara;15;5;2.50;55.55
Kuldeep Yadav;4;21;21.00;123.52
DS Kulkarni;11;4;2.00;36.36
NR Kumar;5;93;18.60;134.78
AL Kumar;2;13;13.00;92.85
B Kumar;18;26;8.66;144.44
P Kumar;15;35;5.83;87.50
HG Kumara;6;67;11.16;113.55
SAC Kumara;6;75;15.00;159.57
B Kynman;6;6;3.00;54.54
SD Lad;4;25;25.00;131.57
SS Lahiri;2;15;7.50;83.33
Lakhan Singh;3;8;2.66;66.66
MWLS Lakmal;4;52;13.00;126.82
JS Lakshan;1;-;-;-
TPI Lakshanka;1;19;19.00;86.36
ABT Lakshitha;2;3;1.50;42.85
AV Lalcheta;10;31;15.50;147.61
JK Lalor;9;10;10.00;100.00
Lal Kumar;4;37;12.33;127.58
AS Lamba;8;265;37.85;117.77
GLB Lamplough;1;-;-;-
JPR Lamsam;1;-;-;-
W Lategan;6;140;28.00;97.22
TWM Latham;2;15;7.50;83.33
B Laughlin;14;34;6.80;161.90
TL Lawford;4;13;13.00;144.44
DW Lawrence;1;3;3.00;75.00
J Leach;14;42;10.50;123.52
JA Leaning;14;338;42.25;134.12
MA Leask;8;24;6.00;100.00
B Lee;6;7;7.00;175.00
AZ Lees;9;175;19.44;115.13
E Leie;15;10;5.00;83.33
C le Roux;3;5;5.00;100.00
K Lesporis;3;4;4.00;80.00
TV Letsholo;1;-;-;-
RE Levi;26;800;34.78;152.09
E Lewis;17;367;24.46;122.33
TP Lewis;8;114;14.25;105.55
CJ Liddle;11;-;-;-
AM Lilley;16;25;8.33;113.63
GF Linde;8;48;16.00;171.42
ER Links;6;22;-;81.48
TE Linley;2;2;2.00;66.66
Liton Das;12;172;14.33;97.17
LS Livingstone;16;137;12.45;114.16
J Liyanage;3;54;27.00;94.73
I Liyanage;1;0;0.00;-
MA Liyanapathiranage;7;15;3.75;83.33
DL Lloyd;8;50;10.00;111.11
SJ Loftie-Eaton;1;6;6.00;50.00
S Lohani;1;27;27.00;168.75
J Lone;4;35;8.75;89.74
M Loubser;3;34;11.33;130.76
BI Louw;6;87;29.00;98.86
L Louwrens;1;8;8.00;114.28
WJ Lubbe;5;103;20.60;119.76
TP Ludeman;10;151;15.10;120.80
MJ Lumb;18;425;23.61;129.96
CA Lynn;20;534;31.41;145.10
NM Lyon;6;8;8.00;88.88
AR McBrine;2;-;-;-
MJ McClenaghan;29;29;5.80;145.00
RJ McCone;2;-;-;-
BB McCullum;22;741;37.05;169.95
NL McCullum;21;155;11.92;126.01
AC McDermott;1;0;0.00;0.00
AB McDonald;2;30;15.00;75.00
MW Machan;12;198;24.75;117.15
CJ McKay;19;56;11.20;127.27
R McLaren;7;109;27.25;153.52
CS MacLeod;17;324;20.25;126.07
NJ Maddinson;12;231;19.25;129.77
N Madziva;6;56;28.00;136.58
WL Madsen;10;169;18.77;113.42
CAM Madusanka;1;5;-;100.00
AVL Madushan;4;12;4.00;85.71
HUK Madushanka;9;9;3.00;90.00
LD Madushanka;6;70;17.50;111.11
LL Madushanka;2;4;-;100.00
SWH Maduwantha;1;7;7.00;50.00
SSB Magala;13;56;14.00;107.69
RP Magar;6;55;9.16;59.78
SJ Magoffin;2;-;-;-
KA Maharaj;16;144;36.00;163.63
MF Maharoof;4;23;23.00;164.28
S Mahmood;3;-;-;-
S Mahmoud;9;51;17.00;80.95
Mahmudullah;16;309;28.09;101.98
Mahmudul Hasan;6;72;18.00;71.28
GT Main;3;-;-;-
Majid Ali;9;0;-;-
Majid Khan;2;21;10.50;105.00
SS Majumder;4;43;14.33;113.15
V Makhaphela;1;17;17.00;85.00
BS Makhanya;7;71;35.50;84.52
KR Makvana;4;9;4.50;90.00
AJ Malan;9;62;8.85;80.51
DJ Malan;14;552;42.46;135.96
JN Malan;4;45;11.25;100.00
PJ Malan;3;95;47.50;102.15
SL Malinga;19;8;8.00;57.14
G Malla;10;153;17.00;95.03
A Mallick;5;81;20.25;126.56
Manan Sharma;4;9;9.00;69.23
AK Mandal;4;40;13.33;59.70
Mandeep Singh;24;375;23.43;139.92
WWAG Maneeshan;2;0;0.00;0.00
Manjeet Singh;6;72;36.00;232.25
KR Mannikam;6;4;4.00;40.00
U Manukrishnan;5;1;-;100.00
AM Maposa;7;11;-;122.22
JL Marais;4;142;35.50;111.81
M Marais;6;146;36.50;125.86
AK Markram;11;308;28.00;124.19
CJ Marrow;3;5;5.00;45.45
MR Marsh;2;14;7.00;93.33
SE Marsh;9;391;48.87;134.36
HJH Marshall;8;322;46.00;160.19
K Marshall;1;0;0.00;-
WB Marshall;3;39;13.00;88.63
H Masakadza;7;169;24.14;113.42
WP Masakadza;4;11;-;220.00
LMG Masekela;3;2;-;100.00
TK Masheshemane;4;1;-;33.33
Mashrafe Mortaza;17;139;17.37;133.65
S Masondo;5;30;6.00;65.21
DD Masters;14;13;4.33;50.00
AD Mathews;14;209;23.22;140.26
DK Mathias;4;45;22.50;61.64
AW Mathieson;4;-;-;-
P Matshikwe;2;-;-;-
GJ Maxwell;30;590;20.34;142.51
KR Mayers;7;48;6.85;102.12
MN Mazahir;1;10;10.00;250.00
VCM Mazibuko;1;0;-;-
L Mbane;8;6;3.00;75.00
NE Mbhalati;5;-;-;-
GJ McCarter;3;-;-;-
CE McConchie;8;11;3.66;91.66
MK McGillivray;2;1;0.50;11.11
LT Mdashe;5;29;14.50;116.00
AL Menaria;8;146;18.25;139.04
Mehedi Maruf;10;126;15.75;82.89
Mehjoor Ali;3;2;2.00;20.00
A Mehmood;1;-;-;-
Mehran Khan;11;66;8.25;111.86
BAW Mendis;6;17;3.40;36.95
BKG Mendis;6;105;21.00;109.37
BMAJ Mendis;14;192;17.45;133.33
BMDK Mendis;1;-;-;-
RTM Mendis;1;48;-;126.31
JM Mennie;2;4;4.00;44.44
LI Meriwala;3;-;-;-
CAJ Meschede;14;175;15.90;143.44
MG Gawas;3;1;1.00;25.00
A Mgijima;3;42;21.00;105.00
JD Middlebrook;4;33;-;183.33
BKEL Milantha;6;136;22.66;107.93
S Milenko;1;7;7.00;63.63
CN Miles;8;3;-;300.00
CV Milind;9;22;7.33;95.65
Milind Kumar;5;105;26.25;106.06
DA Miller;36;776;31.04;134.25
H Miller;4;32;16.00;110.34
NO Miller;5;3;-;37.50
TS Mills;14;1;1.00;50.00
AF Milne;10;46;11.50;135.29
R Minnie;1;61;61.00;115.09
Mirwais Ashraf;8;3;1.50;30.00
Mir Ali;5;24;8.00;100.00
Mir Hamza;7;6;6.00;46.15
Misbah-ul-Haq;16;365;26.07;117.74
DW Misal;5;142;35.50;110.07
A Mishra;17;36;9.00;70.58
ACP Mishra;4;-;-;-
MD Mishra;8;172;24.57;142.14
RK Mishra;1;-;-;-
DJ Mitchell;9;96;16.00;100.00
DKH Mitchell;14;412;34.33;116.05
T Mnyaka;3;34;34.00;121.42
LL Mnyanda;6;68;11.33;73.11
M Modiba;1;-;-;-
SF Mofokeng;7;4;4.00;50.00
K Mogotsi;2;41;20.50;105.12
K Mohale;8;1;-;33.33
Mohammad Adil;4;5;-;250.00
Mohammad Aftab;2;-;-;-
Mohammad Ali;3;14;7.00;82.35
Mohammad Amir;18;43;4.77;93.47
Mohammad Asghar;9;2;2.00;66.66
Mohammad Asim;2;7;3.50;140.00
Mohammad Azeem;1;10;-;200.00
Mohammad Fahad;2;13;13.00;185.71
Mohammad Fayyaz;10;31;10.33;103.33
Mohammad Hafeez;20;243;12.15;107.52
Mohammad Hasan;2;4;4.00;80.00
Mohammad Imran;9;16;8.00;88.88
Mohammad Imtiaz;3;31;10.33;110.71
Mohammad Irfan;11;7;7.00;116.66
Mohammad Irfan;2;11;5.50;100.00
Mohammad Irfan;2;-;-;-
Mohammad Mithun;12;130;16.25;102.36
Mohammad Nabi;16;211;21.10;131.05
Mohammad Nadeem;5;20;10.00;142.85
Mohammad Naeem;2;9;9.00;52.94
Mohammad Naeem;1;-;-;-
Mohammad Naseem;2;6;3.00;42.85
Mohammad Naveed;5;38;12.66;115.15
Mohammad Nawaz;9;71;10.14;98.61
Mohammad Raza;1;0;-;0.00
Mohammad Rizwan;18;372;41.33;119.23
Mohammad Saeed;3;11;-;157.14
Mohammad Salman;1;14;14.00;87.50
Mohammad Sami;21;76;12.66;155.10
Mohammad Sarwar;3;11;5.50;122.22
Mohammad Shahid;10;19;3.16;59.37
Mohammad Shahzad;12;325;27.08;155.50
Mohammad Shahzad;6;137;27.40;119.13
Mohammad Talha;3;9;4.50;52.94
Mohammad Tauqir;5;17;8.50;85.00
Mohammad Urs;3;16;16.00;76.19
Mohammad Waheed;1;16;16.00;114.28
Mohammad Waqas;3;75;75.00;153.06
Mohammad Waqas;4;45;15.00;118.42
Mohammad Yasir;7;192;27.42;132.41
Mohammad Zahid;1;-;-;-
JN Mohammed;6;67;22.33;84.81
Mohibullah;4;65;16.25;125.00
Moinuddin;8;130;21.66;100.00
Lazarus Mokoena;2;0;-;-
TG Mokoena;7;94;13.42;109.30
TMK Mokwena;3;31;31.00;81.57
Mominul Haque;8;78;13.00;84.78
PL Mommsen;11;201;100.50;168.90
JF Mooney;7;47;23.50;188.00
R Moonsamy;7;54;18.00;98.18
PJ Moor;2;36;18.00;73.46
EM Moore;6;104;26.00;105.05
VP Moore;4;-;-;-
IA Moran;1;-;-;-
RG More;5;3;-;60.00
VV Morea;1;9;9.00;75.00
TL Moreki;5;-;-;-
EJG Morgan;24;578;28.90;122.71
JA Morkel;18;341;48.71;136.94
M Morkel;8;4;-;133.33
CH Morris;24;157;26.16;167.02
Mosaddek Hossain;7;116;23.20;94.30
M Mosehle;13;320;35.55;145.45
BB Mosena;8;29;14.50;54.71
LN Mosena;5;8;2.00;27.58
Mosharraf Hossain;10;8;8.00;50.00
SA Mothoa;10;-;-;-
RH Motwani;3;15;5.00;62.50
CB Mpofu;7;6;-;200.00
SC Mthimkhulu;3;-;-;-
J Mubarak;7;151;50.33;113.53
GJ Muchall;13;299;49.83;118.65
Muhammad Akhlaq;4;80;26.66;126.98
Muhammad Ghous;6;16;5.33;84.21
Muhammad Kaleem;1;7;7.00;70.00
Muhammad Usman;1;14;14.00;73.68
MT Mukherjee;1;2;2.00;66.66
JK Mukhiya;2;0;-;-
Mukhtar Ahmed;18;489;28.76;146.40
Muktar Ali;5;9;9.00;81.81
SJ Mullaney;13;131;13.10;131.00
AM Muller;3;38;38.00;105.55
T Muller;1;-;-;-
EMDY Munaweera;23;384;17.45;113.94
PR Munda;1;6;6.00;100.00
SS Mundhe;3;10;5.00;111.11
Munir-ur-Rehman;2;7;7.00;70.00
C Munro;27;590;25.65;158.17
HG Munsey;11;176;29.33;153.04
MB Murasingh;4;25;8.33;119.04
SJ Murdoch;10;274;34.25;125.68
Musadiq Ahmed;7;100;33.33;208.33
Mushfiqur Rahim;15;223;20.27;108.78
Mustafa Iqbal;7;29;14.50;116.00
Mustafizur Rahman;15;3;1.50;30.00
P Mustard;13;303;23.30;112.22
S Muthusamy;7;126;21.00;113.51
DJ Muthuswami;9;1;1.00;25.00
CT Mutombodzi;2;13;-;108.33
R Mutumbami;7;121;30.25;123.46
Muzammil Tehseen;5;-;-;-
T Muzarabani;7;-;-;-
JG Myburgh;8;207;29.57;124.69
SJ Myburgh;10;309;38.62;127.68
A Myoli;12;5;-;71.42
Nabil Samad;5;3;-;75.00
S Nadeem;8;20;5.00;83.33
Nadeem Ahmed;11;16;8.00;100.00
T Nadeera;2;38;19.00;90.47
Nadif Chowdhury;8;84;16.80;84.00
Naeem Anjum;5;6;6.00;120.00
Naeem Islam;4;87;43.50;84.46
Naeem Islam;2;-;-;-
S Naidoo;6;22;5.50;57.89
PKKK Naidu;5;17;8.50;89.47
JKH Naik;13;8;8.00;80.00
NS Naik;3;47;23.50;92.15
KK Nair;19;236;15.73;116.83
Najaf Shah;2;0;-;0.00
Najeebullah;3;74;24.66;115.62
Najibullah Zadran;9;174;29.00;158.18
AN Nanayakkara;6;54;13.50;91.52
AA Nandi;2;0;0.00;0.00
DP Nannes;1;-;-;-
GR Napier;14;100;12.50;185.18
Naqash Basharat;3;0;0.00;0.00
D Naren Reddy;8;70;14.00;129.62
SP Narine;24;48;9.60;109.09
Naseer Jamali;3;1;1.00;50.00
CD Nash;13;444;37.00;133.33
M Nasim Baras;3;1;1.00;50.00
Nasir Awais;5;8;-;160.00
Nasir Aziz;3;6;6.00;100.00
Nasir Hossain;16;213;15.21;101.91
Nasir Jamshed;12;356;39.55;131.85
Nasir Khan;3;88;29.33;108.64
Nasum Ahmed;3;7;3.50;38.88
Nauman Ali;5;43;21.50;195.45
Nauman Anwar;12;417;37.90;157.95
Naved Malik;9;215;23.88;127.21
Naved Malik;3;42;14.00;75.00
Naved Yasin;9;310;77.50;157.36
MG Naveen;2;6;3.00;54.54
NMNP Nawela;1;38;38.00;135.71
Nawroz Mangal;6;166;33.20;120.28
AM Nayar;4;53;17.66;132.50
S Nazar;5;0;-;-
Nazmul Hossain Milon;8;55;9.16;88.70
Nazmul Islam;5;18;6.00;81.81
S Ndwandwa;2;12;6.00;70.58
JDS Neesham;6;135;33.75;146.73
P Negi;14;133;13.30;143.01
A Nehra;16;1;1.00;14.28
MG Neser;3;10;10.00;76.92
TS Nethula;11;34;11.33;106.25
JCP Newby;3;19;6.33;70.37
OR Newton;1;-;-;-
RI Newton;1;-;-;-
L Ngidi;13;2;-;200.00
JO Ngoche;3;-;-;-
SO Ngoche;8;21;5.25;67.74
LC Ngoepe;13;153;19.12;108.51
HM Nicholls;10;210;23.33;111.70
RJ Nicol;10;279;39.85;103.33
K Nipper;11;147;21.00;85.96
S Nirmohi;3;0;0.00;0.00
WAS Niroshan;8;104;17.33;100.97
Nizakat Khan;12;200;18.18;114.94
MB Njoloza;2;-;-;-
K Noema-Barnett;10;31;10.33;91.17
SA Northeast;14;641;49.30;152.98
LC Norwell;2;-;-;-
L Nou;3;2;-;66.66
MJ Nqolo;11;40;5.71;75.47
SSN Nqweni;3;-;-;-
T Ntuli;11;0;0.00;0.00
S Ntuntwana;1;-;-;-
AR Nurse;7;29;7.25;116.00
Nurul Hasan;10;115;19.16;117.34
EJ Nuttall;8;15;15.00;93.75
O Nyaku;5;42;-;110.52
JP Oakes;4;14;7.00;60.86
AA Obanda;2;5;5.00;29.41
KJ O'Brien;27;452;20.54;134.52
NJ O'Brien;13;233;29.12;108.87
CO Obuya;8;141;17.62;91.55
E Ochieng;2;3;-;60.00
NM Odhiambo;8;42;21.00;100.00
NN Odhiambo;5;64;12.80;128.00
RR O'Donnell;10;110;55.00;110.00
MP O'Dowd;7;71;17.75;124.56
NV Ojha;17;235;18.07;121.13
PP Ojha;5;0;0.00;0.00
SNJ O'Keefe;9;24;12.00;150.00
RK Oliver;10;193;24.12;114.88
D Olivier;4;-;-;-
LN Oluoch;8;26;6.50;118.18
JL Ontong;13;202;18.36;98.05
VL Orros;1;2;2.00;28.57
E Otieno;8;2;1.00;100.00
MA Ouma;5;92;92.00;101.09
C Overton;1;13;13.00;130.00
J Overton;16;57;19.00;158.33
TD Paine;7;194;32.33;141.60
K Pala;5;84;21.00;125.37
RS Paliwal;5;83;20.75;105.06
AP Palladino;3;5;5.00;100.00
RJG Palmer;6;2;1.00;33.33
IC Pandey;14;1;1.00;50.00
MK Pandey;19;281;17.56;111.06
U Pandit;2;15;7.50;83.33
HH Pandya;12;161;20.12;153.33
KH Pandya;3;76;38.00;185.36
Y Pangabantu;3;1;-;50.00
Pankaj Singh;4;7;7.00;31.81
T Panyangara;5;5;5.00;83.33
MHW Papps;10;163;16.30;125.38
JS Paris;3;-;-;-
A Parkar;1;10;-;125.00
WD Parnell;22;303;33.66;126.25
SD Parry;22;23;23.00;104.54
Parvez Rasool;7;74;14.80;119.35
AR Patel;18;230;20.90;112.74
DR Patel;3;6;3.00;75.00
H Patel;4;94;23.50;125.33
HP Patel;9;-;-;-
HV Patel;20;32;4.00;152.38
JH Patel;5;42;8.40;110.52
JS Patel;24;88;8.80;146.66
MK Patel;4;11;11.00;68.75
NK Patel;6;74;14.80;105.71
PA Patel;18;423;24.88;138.23
RH Patel;5;11;-;78.57
RN Patel;2;8;8.00;66.66
RR Patel;8;162;23.14;135.00
SK Patel;5;157;39.25;96.31
SR Patel;13;386;38.60;129.53
TK Patel;6;11;5.50;78.57
UB Patel;5;9;9.00;128.57
UR Patel;3;33;16.50;68.75
D Paterson;11;1;1.00;50.00
AUK Pathan;4;119;29.75;160.81
YK Pathan;16;380;42.22;125.82
SS Pathirana;8;116;58.00;143.20
BS Pati;1;0;0.00;0.00
NA Patil;1;10;10.00;125.00
SP Patil;6;78;19.50;91.76
SB Patra;4;33;11.00;89.18
SA Patterson;5;1;-;100.00
JL Pattinson;4;4;2.00;44.44
KB Pawan;2;11;11.00;64.70
DA Payne;9;3;-;100.00
K Pedi;1;-;-;-
DPIN Peiris;6;58;9.66;100.00
KPCM Peiris;6;23;7.66;164.28
TPMS Peiris;1;0;-;-
JJ Peirson;10;154;17.11;132.75
CW Perchard;6;21;10.50;87.50
AK Perera;7;102;34.00;106.25
K Perera;1;3;3.00;37.50
KKMR Perera;1;6;6.00;120.00
KPA Perera;2;2;2.00;25.00
KRNU Perera;3;1;1.00;50.00
MDK Perera;3;1;1.00;33.33
MDKJ Perera;11;236;23.60;158.38
NANN Perera;7;108;18.00;158.82
NLTC Perera;17;175;12.50;113.63
NVR Perera;5;7;7.00;116.66
PARP Perera;8;51;12.75;127.50
SSM Perera;2;-;-;-
WLR Perera;9;81;27.00;168.75
WKD Perkins;6;98;19.60;118.07
V Permaul;10;32;10.66;84.21
C Pervez;5;2;-;50.00
T Peter;2;0;-;0.00
O Peters;6;47;9.40;92.15
AN Petersen;12;213;21.30;108.67
KD Petersen;6;78;15.60;97.50
RJ Peterson;19;77;11.00;96.25
ML Pettini;10;281;28.10;135.09
AM Phangiso;18;53;7.57;89.83
AL Phehlukwayo;16;84;10.50;103.70
VD Philander;3;6;3.00;60.00
TM Phukuile;1;-;-;-
MN Piedt;4;4;2.00;40.00
AJ Pienaar;5;95;95.00;97.93
JJ Pienaar;4;121;40.33;137.50
