Name;Runs;Avg;SR
V Kohli;634;45.28;138.73
DS Kulkarni;-;-;-
B Kumar;52;7.42;73.23
P Kumar;47;7.83;120.51
B Laughlin;4;4.00;44.44
B Lee;21;21.00;175.00
BB McCullum;6;6.00;85.71
AB McDonald;0;0.00;0.00
R McLaren;3;1.50;50.00
VS Malik;-;-;-
SL Malinga;9;2.25;50.00
Mandeep Singh;260;20.00;116.59
M Manhas;13;-;76.47
MR Marsh;140;20.00;132.07
SE Marsh;300;37.50;120.48
AD Mascarenhas;5;-;100.00
AD Mathews;172;24.57;123.74
GJ Maxwell;36;18.00;133.33
AL Menaria;1;1.00;50.00
BAW Mendis;2;2.00;50.00
BMAJ Mendis;23;7.66;85.18
DA Miller;418;59.71;164.56
A Mishra;89;14.83;92.70
A Mithun;2;2.00;100.00
Mohammed Shami;5;5.00;50.00
EJG Morgan;307;27.90;127.91
JA Morkel;46;15.33;124.32
M Morkel;57;11.40;196.55
CH Morris;14;7.00;87.50
A Mukund;19;19.00;90.47
M Muralitharan;-;-;-
AG Murtaza;5;5.00;125.00
S Nadeem;14;2.80;51.85
KK Nair;9;4.50;75.00
DP Nannes;0;-;-
SP Narine;21;7.00;110.52
S Narwal;23;23.00;153.33
AM Nayar;66;11.00;90.41
P Negi;-;-;-
A Nehra;1;0.25;12.50
MG Neser;-;-;-
NV Ojha;9;9.00;90.00
PP Ojha;2;2.00;50.00
JDP Oram;-;-;-
IC Pandey;0;0.00;0.00
MK Pandey;136;22.66;99.27
WD Parnell;5;5.00;71.42
Parvez Rasool;5;5.00;55.55
MM Patel;0;-;-
PA Patel;294;22.61;115.29
IK Pathan;142;17.75;93.42
YK Pathan;332;30.18;138.33
MDKJ Perera;14;7.00;107.69
NLTC Perera;233;23.30;142.94
KA Pollard;420;42.00;149.46
LA Pomersbach;58;29.00;98.30
RT Ponting;52;10.40;69.33
CA Pujara;92;23.00;92.92
AM Rahane;488;34.85;106.55
KL Rahul;20;10.00;125.00
SK Raina;548;42.15;150.13
AS Rajpoot;2;-;33.33
R Rampaul;38;9.50;102.70
DB Ravi Teja;14;14.00;82.35
M Rawat;5;5.00;45.45
AT Rayudu;265;18.92;114.71
PA Reddy;91;13.00;90.09
KW Richardson;34;17.00;94.44
BJ Rohrer;193;32.16;137.85
AD Russell;11;5.50;78.57
Sachin Baby;3;3.00;42.85
WP Saha;70;23.33;125.00
BB Samantray;123;24.60;110.81
DJG Sammy;174;29.00;131.81
SV Samson;206;25.75;115.73
MN Samuels;8;4.00;44.44
Sandeep Sharma;0;-;0.00
KC Sangakkara;120;13.33;88.23
PJ Sangwan;4;-;200.00
R Sathish;109;21.80;141.55
V Sehwag;295;24.58;126.60
SMSM Senanayake;10;10.00;58.82
OA Shah;25;12.50;108.69
I Sharma;0;-;-
KV Sharma;85;21.25;98.83
MM Sharma;0;0.00;0.00
R Sharma;11;2.75;64.70
RG Sharma;538;38.42;131.54
LR Shukla;3;1.50;25.00
R Shukla;1;-;50.00
RP Singh;-;-;-
DR Smith;418;32.15;122.58
SPD Smith;159;39.75;120.45
S Sreesanth;1;1.00;25.00
DW Steyn;53;26.50;147.22
TL Suman;52;10.40;89.65
P Suyal;-;-;-
J Syed Mohammad;10;5.00;76.92
SW Tait;1;1.00;33.33
PV Tambe;3;-;50.00
AP Tare;123;24.60;146.42
LRPL Taylor;63;12.60;82.89
RN ten Doeschate;85;28.33;134.92
SR Tendulkar;287;22.07;124.24
X Thalaivan Sargunam;10;10.00;58.82
MK Tiwary;146;18.25;104.28
SS Tiwary;109;27.25;102.83
SK Trivedi;3;3.00;42.85
JD Unadkat;2;-;100.00
K Upadhyay;1;-;100.00
RV Uthappa;434;27.12;116.98
PC Valthaty;6;6.00;35.29
RE van der Merwe;22;11.00;88.00
Y Venugopal Rao;-;-;-
GH Vihari;241;17.21;86.69
M Vijay;312;22.28;109.09
R Vinay Kumar;70;70.00;159.09
M Vohra;161;20.12;137.60
DA Warner;410;31.53;126.93
SR Watson;543;38.78;142.89
CL White;209;17.41;109.42
LJ Wright;106;21.20;176.66
UT Yadav;38;38.00;100.00
DH Yagnik;125;15.62;130.20
Yuvraj Singh;238;19.83;125.26
