Name;Runs;Avg;SR
S Ladda;-;-;-
AB Agarkar;12;12.00;75.00
MA Agarwal;67;13.40;108.06
AN Ahmed;-;-;-
Anand Rajan;-;-;-
S Anirudha;0;0.00;0.00
Ankit Sharma;-;-;-
KB Arun Karthik;41;13.66;107.89
A Ashish Reddy;125;20.83;140.44
R Ashwin;35;8.75;71.42
P Awana;1;0.50;11.11
Azhar Mahmood;196;19.60;127.27
S Badree;-;-;-
S Badrinath;124;17.71;102.47
L Balaji;9;9.00;90.00
R Bhatia;99;16.50;123.75
BA Bhatt;-;-;-
STR Binny;293;32.55;147.23
Bipul Sharma;-;-;-
UA Birla;7;7.00;50.00
MS Bisla;255;19.61;108.05
J Botha;43;7.16;82.69
DJ Bravo;121;15.12;114.15
JJ Bumrah;-;-;-
YS Chahal;-;-;-
UBT Chand;158;17.55;100.00
A Chandila;4;-;66.66
AA Chavan;-;-;-
PP Chawla;64;10.66;112.28
B Chipli;16;16.00;88.88
DT Christian;6;3.00;40.00
KK Cooper;39;9.75;177.27
NM Coulter-Nile;9;9.00;150.00
DB Das;75;15.00;101.35
Q de Kock;6;2.00;40.00
AB de Villiers;360;36.00;164.38
R Dhawan;21;7.00;100.00
S Dhawan;311;38.87;122.92
MS Dhoni;461;41.90;162.89
TM Dilshan;76;15.20;81.72
AB Dinda;9;4.50;81.81
P Dogra;5;5.00;62.50
R Dravid;471;29.43;110.82
JP Faulkner;57;11.40;100.00
AJ Finch;456;32.57;135.71
G Gambhir;406;25.37;118.36
CM Gautam;44;22.00;129.41
CH Gayle;708;59.00;156.29
AC Gilchrist;294;24.50;128.38
RV Gomez;4;-;400.00
MS Gony;45;11.25;180.00
Gurkeerat Singh;108;13.50;113.68
Harbhajan Singh;116;19.33;146.83
Harmeet Singh;3;3.00;75.00
Harmeet Singh;-;-;-
RJ Harris;2;2.00;40.00
MC Henriques;165;41.25;132.00
BJ Hodge;293;41.85;134.40
GB Hogg;-;-;-
JO Holder;-;-;-
DJ Hussey;235;23.50;112.44
MEK Hussey;733;52.35;129.50
Iqbal Abdulla;8;-;57.14
RA Jadeja;201;25.12;148.88
KM Jadhav;152;21.71;122.58
DPMD Jayawardene;331;22.06;105.75
MG Johnson;39;9.75;108.33
MC Juneja;125;17.85;97.65
JH Kallis;311;20.73;96.58
KD Karthik;510;28.33;124.08
M Kartik;2;2.00;66.66
S Kaul;7;-;77.77
Z Khan;-;-;-
